total_iter,weights_sum,is_sat_clauses
1358,15483,71
1359,15483,71
1360,15483,71
1361,15483,71
1362,15483,71
1363,15483,71
1364,15483,71
1365,15483,71
1366,15483,71
1367,15483,71
1368,15483,71
1369,15483,71
1370,15483,71
1371,15483,71
1372,15483,71
1373,15483,71
1374,15483,71
1375,15483,71
1376,15483,71
1377,15483,71
1378,15483,71
1379,15483,71
1380,15483,71
1381,15483,71
1382,15483,71
1383,15483,71
1384,15483,71
1385,15483,71
1386,15483,71
1387,15483,71
1388,15483,71
1389,15483,71
1390,15483,71
1391,15483,71
1392,15483,71
1393,15483,71
1394,15483,71
1395,15483,71
1396,15483,71
1397,15483,71
1398,15483,71
1399,15483,71
1400,15483,71
1401,15483,71
1402,15483,71
1403,15483,71
1404,15483,71
1405,15483,71
1406,15483,71
1407,15483,71
1408,15483,71
1409,15483,71
1410,15483,71
1411,15483,71
1412,15483,71
1413,15483,71
1414,15483,71
1415,15483,71
1416,15483,71
1417,15483,71
1418,15483,71
1419,15483,71
1420,15483,71
1421,15483,71
1422,15483,71
1423,15483,71
1424,15483,71
1425,15483,71
1426,15483,71
1427,15483,71
1428,15483,71
1429,15483,71
1430,15483,71
1431,15483,71
1432,15483,71
1433,15483,71
1434,15483,71
1435,15483,71
1436,15483,71
1437,15483,71
1438,15483,71
1439,15483,71
1440,15483,71
1441,15483,71
1442,15483,71
1443,15483,71
1444,15483,71
1445,15483,71
1446,15483,71
1447,15483,71
1448,15483,71
1449,15483,71
1450,15483,71
1451,15483,71
1452,15483,71
1453,15483,71
1454,15483,71
1455,15483,71
1456,15483,71
1457,15483,71
1458,15483,71
1459,15483,71
1460,15483,71
1461,15483,71
1462,15483,71
1463,15483,71
1464,15483,71
1465,15483,71
1466,15483,71
1467,15483,71
1468,15483,71
1469,15483,71
1470,15483,71
1471,15483,71
1472,15483,71
1473,15483,71
1474,15483,71
1475,15483,71
1476,15483,71
1477,15483,71
1478,15483,71
1479,15483,71
1480,15483,71
1481,15483,71
1482,15483,71
1483,15483,71
1484,15483,71
1485,15483,71
1486,15483,71
1487,15483,71
1488,15483,71
1489,15483,71
1490,15483,71
1491,15483,71
1492,15483,71
1493,15483,71
1494,15483,71
1495,15483,71
1496,15483,71
1497,15483,71
1498,15483,71
1499,15483,71
1500,15483,71
1501,15483,71
1502,15483,71
1503,15483,71
1504,15483,71
1505,15483,71
1506,15483,71
1507,15483,71
1508,15483,71
1509,15483,71
1510,15483,71
1511,15483,71
1512,15483,71
1513,15483,71
1514,15483,71
1515,15483,71
1516,15483,71
1517,15483,71
1518,15483,71
1519,15483,71
1520,15483,71
1521,15483,71
1522,15483,71
1523,15483,71
1524,15483,71
1525,15483,71
1526,15483,71
1527,15483,71
1528,15483,71
1529,15483,71
1530,15483,71
1531,15483,71
1532,15483,71
1533,15483,71
1534,15483,71
1535,15483,71
1536,15483,71
1537,15483,71
1538,15483,71
1539,15483,71
1540,15483,71
1541,15483,71
1542,15483,71
1543,15483,71
1544,15483,71
1545,15483,71
1546,15483,71
1547,15483,71
1548,15483,71
1549,15483,71
1550,15483,71
1551,15483,71
1552,15483,71
1553,15483,71
1554,15483,71
1555,15483,71
1556,15483,71
1557,15483,71
1558,15483,71
1559,15483,71
1560,15483,71
1561,15483,71
1562,15483,71
1563,15483,71
1564,15483,71
1565,15483,71
1566,15483,71
1567,15483,71
1568,15483,71
1569,15483,71
1570,15483,71
1571,15483,71
1572,15483,71
1573,15483,71
1574,15483,71
1575,15483,71
1576,15483,71
1577,15483,71
1578,15483,71
1579,15483,71
1580,15483,71
1581,15483,71
1582,15483,71
1583,15483,71
1584,15483,71
