total_iter,weights_sum,is_sat_clauses
893,14941,71
894,14941,71
895,14941,71
896,14941,71
897,14941,71
898,14941,71
899,14941,71
900,14941,71
901,14941,71
902,14941,71
903,14941,71
904,14941,71
905,14941,71
906,14941,71
907,14941,71
908,14941,71
909,14941,71
910,14941,71
911,14941,71
912,14941,71
913,14941,71
914,14941,71
915,14941,71
916,14941,71
917,14941,71
918,14941,71
919,14941,71
920,14941,71
921,14941,71
922,14941,71
923,14941,71
924,14941,71
925,14941,71
926,14941,71
927,14941,71
928,14941,71
929,14941,71
930,14941,71
931,14941,71
932,14941,71
933,14941,71
934,14941,71
935,14941,71
936,14941,71
937,14941,71
938,14941,71
939,14941,71
940,14941,71
941,14941,71
942,14941,71
943,14941,71
944,14941,71
945,14941,71
946,14941,71
947,14941,71
948,14941,71
949,14941,71
950,14941,71
951,14941,71
952,14941,71
953,14941,71
954,14941,71
955,14941,71
956,14941,71
957,14941,71
958,14941,71
959,14941,71
960,14941,71
961,14941,71
962,14941,71
963,14941,71
964,14941,71
965,14941,71
966,14941,71
967,14941,71
968,14941,71
969,14941,71
970,14941,71
971,14941,71
972,14941,71
973,14941,71
974,15483,71
975,15483,71
976,15483,71
977,15483,71
978,15483,71
979,15483,71
980,15483,71
981,15483,71
982,15483,71
983,15483,71
984,15483,71
985,15483,71
986,15483,71
987,15483,71
988,15483,71
989,15483,71
990,15483,71
991,15483,71
992,15483,71
993,15483,71
994,15483,71
995,15483,71
996,15483,71
997,15483,71
998,15483,71
999,15483,71
1000,15483,71
1001,15483,71
1002,15483,71
1003,15483,71
1004,15483,71
1005,15483,71
1006,15483,71
1007,15483,71
